"COUNTRY";"STATE";"CITY";"LONGITUDE";"LATITUDE";"PLATENUM";"ZIP"
"DE";"Rheinland-Pfalz";"Albig";"8.12139";"49.7736";"AZ";55234
"DE";"Rheinland-Pfalz";"Albisheim (Pfrimm)";"8.09667";"49.6494";"KIB";67308
"DE";"Schleswig-Holstein";"Albsfelde";10.07.07;"53.6833";"RZ";23909
"DE";"Baden-Württemberg";"Albstadt";"9.01667";"48.2167";"BL";"72458,72459,72461"
"DE";"Nordrhein-Westfalen";"Aldenhoven";"6.28333";"50.9";"DN";52457
"DE";"Bayern";"Aldersbach";"13.0833";"48.6";"PA";94501
"DE";"Baden-Württemberg";"Aldingen";08.07.07;"48.1";"TUT";78554
"DE";"Bayern";"Alerheim";01.10.67;"48.85";"DON";86733
"DE";"Bayern";"Alesheim";01.10.67;"49.05";"WUG";91793
"DE";"Nordrhein-Westfalen";"Bad Berleburg";"8.51623";"51.0578";"SI";57319
"DE";"Bayern";"Aletshausen";01.10.33;"48.2";"GZ";86480
"DE";"Rheinland-Pfalz";"Alf";"7.11667";"50.05";"COC";56859
"DE";"Baden-Württemberg";"Alfdorf";"9.71667";"48.85";"WN";73553
"DE";"Bayern";"Alfeld";01.11.55;"49.4333";"LAU";91236
"DE";"Niedersachsen";"Alfeld (Leine)";"9.83333";"51.9833";"HI";31061
"DE";"Niedersachsen";"Alfhausen";01.07.95;"52.5";"OS";49594
"DE";"Rheinland-Pfalz";"Alflen";"7.03333";"50.1833";"COC";56828
"DE";"Niedersachsen";"Alfstedt";"9.06667";"53.55";"ROW";27432
"DE";"Nordrhein-Westfalen";"Alfter";"7.01667";"50.7333";"SU";53347
"DE";"Sachsen-Anhalt";"Algenstedt";01.11.45;"52.6";"SAW";39638
"DE";"Niedersachsen";"Algermissen";"9.96667";"52.25";"HI";31191
"DE";"Hessen";"Alheim";"9.66667";"51.0333";"HEF";36211
"DE";"Sachsen-Anhalt";"Oschersleben (Bode)";01.11.33;"51.9833";"BÖ";39398
"DE";"Rheinland-Pfalz";"Alken";01.07.45;"50.25";"MYK";56332
"DE";"Thüringen";"Alkersleben";01.11.33;"50.85";"IK";99310
"DE";"Schleswig-Holstein";"Alkersum";"8.51667";"54.7167";"NF";25938
"DE";"Rheinland-Pfalz";"Allenbach";"7.16667";"49.75";"BIR";55758
"DE";"Rheinland-Pfalz";"Allendorf";"Vorarlberg";"50.2667";"EMS";56370
"DE";"Thüringen";"Allendorf";01.11.67;"50.65";"SLF";7426
"DE";"Hessen";"Allendorf (Eder)";"8.67917";"51.0333";"KB";35108
"DE";"Hessen";"Allendorf (Lumda)";"8.83333";"50.6833";"GI";35469
"DE";"Rheinland-Pfalz";"Allenfeld";"7.66667";"49.8667";"KH";55595
"DE";"Baden-Württemberg";"Allensbach";"9.06667";"47.7167";"KN";78476
"DE";"Sachsen-Anhalt";"Alleringersleben";01.11.33;"52.2167";"OK";39343
"DE";"Bayern";"Allersberg";01.11.11;"49.2542";"RH";90584
"DE";"Bayern";"Allershausen";11.06.07;"48.4333";"FS";85391
"DE";"Baden-Württemberg";"Alleshausen";"9.61667";"48.1";"BC";88422
"DE";"Bayern";"Alling";11.03.07;"48.15";"FFB";82239
"DE";"Bayern";"Allmannshofen";10.08.07;"48.6167";"A";86695
"DE";"Baden-Württemberg";"Allmannsweiler";09.06.07;"48.0333";"BC";88348
"DE";"Baden-Württemberg";"Allmendingen";"9.71667";"48.3333";"UL";89604
"DE";"Baden-Württemberg";"Allmersbach im Tal";"9.46667";"48.9";"WN";71573
"DE";"Sachsen-Anhalt";"Allrode";01.10.67;"51.6833";"WR";6507
"DE";"Sachsen-Anhalt";"Allstedt";01.11.33;"51.4";"SGH";6542
"DE";"Schleswig-Holstein";"Almdorf";"9.01667";"54.5833";"NF";25821
"DE";"Rheinland-Pfalz";"Almersbach";"7.63333";"50.6833";"AK";57610
"DE";"Niedersachsen";"Almstedt";"9.96667";"52.05";"HI";31079
"DE";"Nordrhein-Westfalen";"Alpen";"6.51667";"51.5833";"WES";46519
"DE";"Rheinland-Pfalz";"Alpenrod";"7.86667";"50.6333";"WW";57642
"DE";"Thüringen";"Alperstedt";11.05.07;"51.1";"SÖM";99195
"DE";"Baden-Württemberg";"Alpirsbach";"8.41667";"48.3333";"FDS";72275
"DE";"Rheinland-Pfalz";"Alsbach";"7.66667";"50.4667";"WW";56237
"DE";"Hessen";"Alsbach-Hähnlein";"8.59583";"49.7386";"DA";64665
"DE";"Rheinland-Pfalz";"Alsdorf";"6.46667";"49.8833";"BIT";54668
"DE";"Rheinland-Pfalz";"Alsdorf";"7.86667";"50.7667";"AK";57518
"DE";"Nordrhein-Westfalen";"Alsdorf";"6.16667";"50.8833";"AC";52477
"DE";"Rheinland-Pfalz";"Alsenbrück-Langmeil";"7.86667";"49.5667";"KIB";67722
"DE";"Rheinland-Pfalz";"Alsenz";"7.81667";"49.7167";"KIB";67821
"DE";"Hessen";"Alsfeld";"9.26667";"50.75";"VB";36304
"DE";"Rheinland-Pfalz";"Alsheim";"8.34028";"49.7681";"AZ";67577
"DE";"Sachsen-Anhalt";"Alsleben (Saale)";01.11.67;"51.7";"BBG";6425
"DE";"Baden-Württemberg";"Altbach";"9.38333";"48.7333";"ES";73776
"DE";"Schleswig-Holstein";"Alt Bennebek";"9.43333";"54.3833";"SL";24848
"DE";"Sachsen-Anhalt";"Altbrandsleben";01.11.25;"52.0667";"BÖ";39387
"DE";"Mecklenburg-Vorpommern";"Alt Bukow";11.06.07;54;"DBR";18233
"DE";"Brandenburg";"Altdöbern";"14.0333";"51.65";"OSL";3229
"DE";"Baden-Württemberg";"Altdorf";"9.26667";"48.5833";"ES";72655
"DE";"Baden-Württemberg";"Altdorf";"Wien";"48.6333";"BB";71155
"DE";"Bayern";"Altdorf";01.11.72;"49.3875";"LAU";90518
"DE";"Bayern";"Altdorf";01.12.67;"48.5667";"LA";84032
"DE";"Rheinland-Pfalz";"Altdorf";"8.21611";"49.2872";"SÜW";67482
"DE";"Schleswig-Holstein";"Alt Duvenstedt";01.09.65;"54.3667";"RD";24791
"DE";"Mecklenburg-Vorpommern";"Altefähr";"13.1167";"54.3167";"RÜG";18573
"DE";"Bayern";"Alteglofsheim";12.02.07;"48.9167";"R";93087
"DE";"Nordrhein-Westfalen";"Altena";"7.66667";"51.3";"MK";58762
"DE";"Rheinland-Pfalz";"Altenahr";"Tirol";"50.5167";"AW";53505
"DE";"Niedersachsen";"Altenau";01.10.45;"51.8";"GS";38707
"DE";"Rheinland-Pfalz";"Altenbamberg";"7.83333";"49.7833";"KH";55585
"DE";"Nordrhein-Westfalen";"Altenbeken";"8.93333";"51.7667";"PB";33184
"DE";"Sachsen";"Altenberg";"13.7667";"50.7667";"DW";1773
"DE";"Thüringen";"Altenberga";01.11.33;"50.8333";"SHK";7768
"DE";"Nordrhein-Westfalen";"Altenberge";"7.46667";"52.05";"ST";48341
"DE";"Thüringen";"Altenbeuthen";11.06.07;"50.6";"SLF";7338
"DE";"Sachsen-Anhalt";"Altenbrak";01.10.33;"51.7333";"WR";38889
"DE";"Bayern";"Altenbuch";"9.40928";"49.8265";"MIL";97901
"DE";"Thüringen";"Altenburg";01.12.47;"50.9884";"ABG";4600
"DE";"Rheinland-Pfalz";"Altendiez";"7.98333";"50.3667";"EMS";65624
"DE";"Bayern";"Altendorf";01.11.67;"49.8";"BA";96146
"DE";"Bayern";"Altendorf";01.12.33;"49.4";"SAD";92540
"DE";"Thüringen";"Altenfeld";01.10.67;"50.5667";"IK";98701
"DE";"Rheinland-Pfalz";"Altenglan";"7.46667";"49.55";"KUS";66885
"DE";"Thüringen";"Altengottern";01.10.67;"51.1667";"UH";99991
"DE";"Mecklenburg-Vorpommern";"Altenhagen";"13.1167";"53.7667";"DM";17091
"DE";"Mecklenburg-Vorpommern";"Altenhagen";11.08.07;"54.0333";"DBR";18236
"DE";"Sachsen-Anhalt";"Altenhausen";01.11.25;"52.25";"OK";39343
"DE";"Brandenburg";"Altenhof";"13.7167";"52.9167";"BAR";16244
"DE";"Mecklenburg-Vorpommern";"Altenhof";01.12.35;"53.35";"MÜR";17209
"DE";"Schleswig-Holstein";"Altenhof";"9.86667";"54.4333";"RD";24340
"DE";"Schleswig-Holstein";"Altenholz";01.10.33;"54.4";"RD";24161
"DE";"Rheinland-Pfalz";"Altenkirchen";01.07.65;"50.7";"AK";57610
"DE";"Rheinland-Pfalz";"Altenkirchen";"7.31667";"49.45";"KUS";66903
"DE";"Mecklenburg-Vorpommern";"Altenkirchen";"13.3333";"54.6333";"RÜG";18556
"DE";"Hessen";"Braunfels";"8.40715";"50.4725";"LDK";35619
"DE";"Schleswig-Holstein";"Altenkrempe";01.10.33;"54.1333";"OH";23730
"DE";"Bayern";"Altenkunstadt";01.11.25;"50.1333";"LIF";96264
"DE";"Bayern";"Altenmarkt an der Alz";01.12.33;48;"TS";83352
"DE";"Niedersachsen";"Altenmedingen";10.06.07;"53.1333";"UE";29575
"DE";"Schleswig-Holstein";"Altenmoor";"9.56667";"53.7667";"IZ";25335
"DE";"Bayern";"Altenmünster";10.06.07;"48.4667";"A";86450
